Symbol,Year,Month,Day,dayOfWeek,closeDay0,highDay0,openDay0,lowDay0,volumeDay0,closeDay260,highDay260,openDay260,lowDay260,volumeDay260,Sector,Industry,exactDateFounded,IPODATE,markReturn6mo,markReturn3mo
A,1999,11,18,3,28.6358,33.5207,27.3725,30.6572,59753154.0,28.0462,29.4363,27.7936,28.9323,2944860.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,"May,1999",1999-11-18,0.05804309375542741,0.05842411475803959
AAC,2014,10,2,3,18.5,20.1,17.6,20.0,2799073.0,22.59,22.69,22.11,22.27,197468.0,Health Care,Medical Specialities,"February,12,2014",2014-10-02,0.029224183749613386,-0.014412879950509662
AAOI,2013,9,26,3,9.96,10.09,9.37,10.0,948999.0,16.96,17.94,16.91,17.73,177655.0,Technology,Semiconductors,"February,28,1997",2013-09-26,0.08249294870013467,0.055830002133409516
AAP,2001,11,29,3,13.9,14.4667,13.3833,13.4,371100.0,17.3033,17.3033,16.7,16.7,0.0,Consumer Services,Other Specialty Stores,1929,2001-11-29,-0.10995088709480987,-0.017447967925191658
AAT,2011,1,13,3,21.25,22.0,21.18,21.53,15536889.0,20.43,20.8,20.09,20.8,142910.0,Consumer Services,Real Estate Investment Trusts,"July,16,2010",2011-01-13,0.17402815661385096,0.09155418689989996
AAV,2001,6,4,0,8.08,8.1,8.08,8.08,5500.0,7.52,7.56,7.51,7.52,1500.0,Energy,Oil & Gas Production,"January,2,1997",2001-06-04,-0.04852934646035057,0.015514623883600103
AAWW,2004,7,21,2,16.75,16.75,16.75,16.75,0.0,30.6,30.6,30.5,30.5,3473.0,Transportation,Transportation Services,1993,2004-07-21,-0.033939763456193255,-0.013717693729031024
ABAC,2010,7,20,1,21.4,25.96,21.0,25.96,59250.0,11.24,11.24,10.7996,10.8,3775.0,Consumer Non-Durables,Farming/Seeds/Milling,2005,2010-07-20,-0.05868865485393696,-0.11259395031133657
ABB,1999,7,23,4,24.06,24.06,24.06,24.06,0.0,30.0,30.0,30.0,30.0,800.0,Consumer Durables,Electrical Products,"January,5,1988",1999-07-23,0.10291089988845323,0.0030364411624861734
ABBV,2012,12,10,0,35.0,37.0,34.91,37.0,749378.0,51.21,51.81,50.77,51.45,5470820.0,Health Care,Major Pharmaceuticals,"January,1,2013",2012-12-10,0.08338099676808805,-0.0077042643548235965
ABCD,2009,12,9,2,3.65,4.0,3.65,4.0,3000.0,3.19,3.31,3.19,3.24,38711.0,Consumer Services,Publishing,"June,2009",2009-12-09,0.15864302907632927,0.05667858227528706
ABEV,1996,8,1,3,0.4208,0.425,0.4128,0.425,273000.0,0.5103,0.5103,0.5083,0.5103,5493000.0,Consumer Non-Durables,Beverages (Production/Distribution),"July,8,2005",1996-08-01,0.0023337251873208325,-0.02235021617044639
ABG,2002,3,14,3,16.8,17.3,16.76,16.9,4777800.0,6.05,6.2,5.9,5.95,79000.0,Consumer Durables,Automotive Aftermarket,1995,2002-03-14,0.11101585925737555,0.02760241916804714
ABR,2004,4,7,2,20.5,20.6,20.05,20.05,3707500.0,25.5,25.7,25.42,25.5,211800.0,Consumer Services,Real Estate Investment Trusts,"June,2003",2004-04-07,0.10479676129871301,0.019381601286239846
